name,id
Agiorgitiko,2166
Lemberger,4042
Verdelho,501
Cesanese,2448
Carignan-Grenache,287
Chardonnay Weissburgunder,65796
Red Blend,20
Malbec-Petit Verdot,20345
Cabernet Sauvignon-Merlot,1063
Xinisteri,73397
Kinali Yapincak,3343
Riesling-Chardonnay,51348
Pigato,19798
Teroldego,1460
Insolia,1022
Shiraz-Mourvèdre,112463
Auxerrois,4349
Verduzzo,777
Žilavka,51421
Malbec-Carménère,46367
Feteasca Neagra,2501
Syrah-Merlot,4440
Syrah-Carignan,60111
Francisa,122726
Garnacha Blanca,4966
Pinot Nero,682
Tempranillo-Merlot,5
Viognier-Grenache Blanc,24634
Moscatel Roxo,15365
Pedro Ximénez,4334
Zlahtina,54607
Cabernet Moravia,2288
Lambrusco Salamino,32573
Pignolo,126782
Vilana,596
Syrah-Viognier,256
Glera,617
Torrontés,183
Muscat of Alexandria,44419
Grüner Veltliner,93
Monastrell-Petit Verdot,92918
Sauvignon Blanc-Chardonnay,7055
Trebbiano,964
Garnacha-Cabernet,108768
Pugnitello,2643
Vignoles,325
Blanc du Bois,4180
Vinhão,48086
Robola,67407
Bacchus,40162
Loureiro-Arinto,6961
Piedirosso,13967
Trollinger,120427
Shiraz,232
Bombino Bianco,18840
Trajadura,106464
Xynisteri,30663
Merlot-Syrah,68339
Duras,1121
Muskateller,11682
Sangiovese Cabernet,11940
Emir,26227
Plavac Mali,4019
Cabernet-Malbec,82920
Roter Veltliner,697
Fernão Pires,2866
Çalkarası,42302
Moscadello,6741
Chardonnay-Sauvignon Blanc,10065
Rosé,83
Feteascǎ Regalǎ,5996
Morava,5085
Traminette,2342
Paralleda,43389
Malbec,16
Chardonnay,14
Elbling,60707
Tempranillo Blanco,28920
Moscato di Noto,116787
Garnacha-Cariñena,109917
